Time (ns),spi_master_tb.dut.clk_counter
30170000,b11110010
30190000,b11110011
30210000,b11110100
30230000,b11110101
30250000,b11110110
30270000,b11110111
30290000,b11111000
30310000,b11111001
30330000,b0
30350000,b1
30370000,b10
30390000,b11
30410000,b100
30430000,b101
30450000,b110
30470000,b111
30490000,b1000
30510000,b1001
30530000,b1010
30550000,b1011
30570000,b1100
30590000,b1101
30610000,b1110
30630000,b1111
30650000,b10000
30670000,b10001
30690000,b10010
30710000,b10011
30730000,b10100
30750000,b10101
30770000,b10110
30790000,b10111
30810000,b11000
30830000,b11001
30850000,b11010
30870000,b11011
30890000,b11100
30910000,b11101
30930000,b11110
30950000,b11111
30970000,b100000
30990000,b100001
31010000,b100010
31030000,b100011
31050000,b100100
31070000,b100101
31090000,b100110
31110000,b100111
31130000,b101000
31150000,b101001
31170000,b101010
31190000,b101011
31210000,b101100
31230000,b101101
31250000,b101110
31270000,b101111
31290000,b110000
31310000,b110001
31330000,b110010
31350000,b110011
31370000,b110100
31390000,b110101
31410000,b110110
31430000,b110111
31450000,b111000
31470000,b111001
31490000,b111010
31510000,b111011
31530000,b111100
31550000,b111101
31570000,b111110
31590000,b111111
31610000,b1000000
31630000,b1000001
31650000,b1000010
31670000,b1000011
31690000,b1000100
31710000,b1000101
31730000,b1000110
31750000,b1000111
31770000,b1001000
31790000,b1001001
31810000,b1001010
31830000,b1001011
31850000,b1001100
31870000,b1001101
31890000,b1001110
31910000,b1001111
31930000,b1010000
31950000,b1010001
31970000,b1010010
31990000,b1010011
32010000,b1010100
32030000,b1010101
32050000,b1010110
32070000,b1010111
32090000,b1011000
32110000,b1011001
32130000,b1011010
32150000,b1011011
32170000,b1011100
32190000,b1011101
32210000,b1011110
32230000,b1011111
32250000,b1100000
